pre_datetime,post_datetime,pre_orbit_state,post_orbit_state,pre_relative_orbit,post_relative_orbit,same_relative_orbit,time_gap_days
2025-11-07 21:53:03.101138+00:00,2025-11-13 21:51:35.746491+00:00,descending,descending,105,105,True,5
2025-11-07 21:53:03.101138+00:00,2025-11-13 21:52:02.893246+00:00,descending,descending,105,105,True,5
2025-11-01 21:51:36.528147+00:00,2025-11-13 21:51:35.746491+00:00,descending,descending,105,105,True,11
2025-11-01 21:52:03.680039+00:00,2025-11-13 21:51:35.746491+00:00,descending,descending,105,105,True,11
2025-11-01 21:52:03.680039+00:00,2025-11-13 21:52:02.893246+00:00,descending,descending,105,105,True,11
2025-11-07 21:53:03.101138+00:00,2025-11-19 21:53:02.884675+00:00,descending,descending,105,105,True,11
2025-11-11 10:00:30.263570+00:00,2025-11-23 10:00:29.820780+00:00,ascending,ascending,69,69,True,11
2025-11-01 21:51:36.528147+00:00,2025-11-13 21:52:02.893246+00:00,descending,descending,105,105,True,12
2025-11-05 10:01:36.067979+00:00,2025-11-23 10:00:29.820780+00:00,ascending,ascending,69,69,True,17
2025-11-07 21:53:03.101138+00:00,2025-11-25 21:51:35.392301+00:00,descending,descending,105,105,True,17
2025-11-07 21:53:03.101138+00:00,2025-11-25 21:52:02.535345+00:00,descending,descending,105,105,True,17
2025-11-01 21:51:36.528147+00:00,2025-11-19 21:53:02.884675+00:00,descending,descending,105,105,True,18
2025-11-01 21:52:03.680039+00:00,2025-11-19 21:53:02.884675+00:00,descending,descending,105,105,True,18
2025-11-11 10:00:30.263570+00:00,2025-11-29 10:01:34.337886+00:00,ascending,ascending,69,69,True,18
2025-11-01 21:51:36.528147+00:00,2025-11-25 21:51:35.392301+00:00,descending,descending,105,105,True,23
2025-11-01 21:52:03.680039+00:00,2025-11-25 21:51:35.392301+00:00,descending,descending,105,105,True,23
2025-11-01 21:52:03.680039+00:00,2025-11-25 21:52:02.535345+00:00,descending,descending,105,105,True,23
2025-11-05 10:01:36.067979+00:00,2025-11-29 10:01:34.337886+00:00,ascending,ascending,69,69,True,23
2025-11-01 21:51:36.528147+00:00,2025-11-25 21:52:02.535345+00:00,descending,descending,105,105,True,24
