date,year,month,year_month,image_count,ndvi_mean,ndvi_min,ndvi_max,ndvi_spread
2020-01-15,2020,1,2020-01,8,0.4580419980599702,-0.5335463285446167,0.9985315799713135,1.5320779085159302
2020-02-15,2020,2,2020-02,4,0.46088887971701636,-0.5849556922912598,0.994535505771637,1.5794911980628967
2020-03-15,2020,3,2020-03,5,0.4301981265723318,-0.46979865431785583,0.9844961166381836,1.4542947709560394
2020-04-15,2020,4,2020-04,2,0.4810178171847525,-0.2080419510602951,0.9368420839309692,1.1448840349912643
2020-05-15,2020,5,2020-05,4,0.43451416095389367,-0.4079422354698181,0.9635416865348816,1.3714839220046997
2020-06-15,2020,6,2020-06,5,0.5438344815997749,-0.5507246255874634,0.949356734752655,1.5000813603401184
2020-07-15,2020,7,2020-07,5,0.5271791340712919,-0.3729160726070404,0.9402375817298889,1.3131536543369293
2020-08-15,2020,8,2020-08,4,0.5076906682517124,-0.8151260614395142,0.9807460904121399,1.795872151851654
2020-09-15,2020,9,2020-09,5,0.49124690065092236,-0.4066554009914398,0.9576399326324463,1.364295333623886
2020-10-15,2020,10,2020-10,3,0.4822661260463912,-0.6128175854682922,0.9826589822769165,1.5954765677452087
2020-11-15,2020,11,2020-11,5,0.4983627705213596,-0.5212569236755371,0.9984423518180847,1.5196992754936218
2020-12-15,2020,12,2020-12,2,0.3486771736897372,-0.7816901206970215,0.9984603524208069,1.7801504731178284
2021-01-15,2021,1,2021-01,6,0.49357253284037833,-0.6039387583732605,1.0,1.6039387583732605
2021-02-15,2021,2,2021-02,6,0.42750472403218054,-0.5627228021621704,0.9916434288024902,1.5543662309646606
2021-03-15,2021,3,2021-03,6,0.4801630593769833,-0.44180789589881897,0.9689579010009766,1.4107657968997955
2021-04-15,2021,4,2021-04,4,0.4700222800807258,-0.49399399757385254,0.9933035969734192,1.4872975945472717
2021-05-15,2021,5,2021-05,5,0.5193444804302534,-0.27515584230422974,0.9968847632408142,1.272040605545044
2021-06-15,2021,6,2021-06,2,0.672649677949292,-0.19498825073242188,0.9112996459007263,1.1062878966331482
2021-07-15,2021,7,2021-07,6,0.5309005220343093,-0.43749234080314636,0.9662576913833618,1.4037500321865082
2021-08-15,2021,8,2021-08,3,0.4847777506919279,-0.9710144996643066,0.9977603554725647,1.9687748551368713
2021-09-15,2021,9,2021-09,10,0.4642744700989924,-0.9444015622138977,0.9694376587867737,1.9138392210006714
2021-10-15,2021,10,2021-10,3,0.350889878397306,-0.551054835319519,0.9718309640884399,1.522885799407959
2021-11-15,2021,11,2021-11,8,0.4277649169502828,-0.9205297827720642,0.9974110126495361,1.9179407954216003
2021-12-15,2021,12,2021-12,4,0.4661085018214708,-0.6486532092094421,0.998971164226532,1.6476243734359741
2022-01-15,2022,1,2022-01,0,,,,
2022-02-15,2022,2,2022-02,0,,,,
2022-03-15,2022,3,2022-03,4,0.4782636556010724,-0.842391312122345,1.0,1.842391312122345
2022-04-15,2022,4,2022-04,3,0.48043338491927545,-0.4444229006767273,0.9576306939125061,1.4020535945892334
2022-05-15,2022,5,2022-05,1,0.6316797235884981,-0.7008547186851501,1.0,1.7008547186851501
2022-06-15,2022,6,2022-06,2,0.5314737031381628,-0.22593969106674194,0.9958115220069885,1.2217512130737305
2022-07-15,2022,7,2022-07,7,0.5547558299442747,-0.22203947603702545,0.955564022064209,1.1776034981012344
2022-08-15,2022,8,2022-08,5,0.5304667259336813,-0.5808053016662598,1.0,1.5808053016662598
2022-09-15,2022,9,2022-09,5,0.5189435292942558,-1.0,1.0,2.0
2022-10-15,2022,10,2022-10,4,0.5133358110474622,-0.8260869383811951,1.0,1.826086938381195
2022-11-15,2022,11,2022-11,2,0.3260227299449179,-0.9556924700737,1.0,1.9556924700737
2022-12-15,2022,12,2022-12,3,0.47795062136589994,-0.5907643437385559,1.0,1.590764343738556
2023-01-15,2023,1,2023-01,1,0.662723271278157,-0.3300492465496063,1.0,1.3300492465496063
2023-02-15,2023,2,2023-02,1,0.43370416776945936,-0.5462555289268494,0.9150943160057068,1.4613498449325562
2023-03-15,2023,3,2023-03,6,0.5020568603577104,-0.6044222116470337,0.936170220375061,1.5405924320220947
2023-04-15,2023,4,2023-04,2,0.5054150090573819,-0.4083465337753296,0.9328107237815857,1.3411572575569153
2023-05-15,2023,5,2023-05,3,0.4874911553110232,-0.3003466725349426,1.0,1.3003466725349426
2023-06-15,2023,6,2023-06,3,0.4280085144861594,-1.0,1.0,2.0
2023-07-15,2023,7,2023-07,5,0.5409996029150418,-0.38957056403160095,0.9514563083648682,1.3410268723964691
2023-08-15,2023,8,2023-08,3,0.3311793462306511,-1.0,0.9545923471450806,1.9545923471450806
2023-09-15,2023,9,2023-09,4,0.48792390684649767,-1.0,0.9636694192886353,1.9636694192886353
2023-10-15,2023,10,2023-10,2,0.4862542655493852,-1.0,0.9925512075424194,1.9925512075424194
2023-11-15,2023,11,2023-11,4,0.35688690660782935,-1.0,1.0,2.0
2023-12-15,2023,12,2023-12,3,0.6167654261844853,-0.5599214434623718,1.0,1.5599214434623718
2024-01-15,2024,1,2024-01,4,0.4681730374873496,-0.628742516040802,1.0,1.628742516040802
2024-02-15,2024,2,2024-02,3,0.4977850422793886,-0.6076695919036865,1.0,1.6076695919036865
2024-03-15,2024,3,2024-03,5,0.46912786872455714,-1.0,0.956750214099884,1.956750214099884
