date,year,month,year_month,cloud_percentage
2020-01-06 02:40:45.118,2020,1,2020-01,26.017449
2020-01-11 02:40:44.604,2020,1,2020-01,13.466731
2020-01-11 02:40:59.056,2020,1,2020-01,30.384412
2020-01-16 02:40:44.357,2020,1,2020-01,21.97551
2020-01-16 02:40:58.815,2020,1,2020-01,10.103212
2020-01-21 02:40:43.873,2020,1,2020-01,32.325079
2020-01-31 02:40:42.669,2020,1,2020-01,29.297297
2020-01-31 02:40:57.127,2020,1,2020-01,17.453248
2020-02-15 02:41:00.311,2020,2,2020-02,32.44382
2020-02-20 02:40:44.461,2020,2,2020-02,38.880494
2020-02-25 02:40:47.209,2020,2,2020-02,10.824022
2020-02-25 02:41:01.662,2020,2,2020-02,5.211728
2020-03-01 02:40:47.816,2020,3,2020-03,38.998512
2020-03-01 02:41:00.129,2020,3,2020-03,8.755301
2020-03-16 02:40:48.247,2020,3,2020-03,25.150619
2020-03-21 02:40:46.555,2020,3,2020-03,19.922923
2020-03-26 02:40:48.038,2020,3,2020-03,15.599606
2020-04-30 02:40:53.068,2020,4,2020-04,14.873101
2020-04-30 02:41:07.547,2020,4,2020-04,25.738644
2020-05-10 02:40:54.665,2020,5,2020-05,37.158849
2020-05-10 02:41:09.140,2020,5,2020-05,28.369346
2020-05-15 02:40:49.488,2020,5,2020-05,21.982588
2020-05-15 02:41:03.949,2020,5,2020-05,36.818464
2020-06-04 02:40:52.110,2020,6,2020-06,22.132133
2020-06-04 02:41:06.573,2020,6,2020-06,26.037254
2020-06-14 02:41:07.122,2020,6,2020-06,14.95498
2020-06-19 02:41:10.670,2020,6,2020-06,23.208677
2020-06-29 02:41:00.071,2020,6,2020-06,32.022048
2020-07-14 02:41:06.142,2020,7,2020-07,22.983196
2020-07-19 02:40:55.264,2020,7,2020-07,30.578041
2020-07-24 02:40:52.387,2020,7,2020-07,17.039675
2020-07-24 02:41:06.838,2020,7,2020-07,30.600662
