date,year,month,year_month
2022-01-03 21:52:27,2022,1,2022-01
2022-02-08 21:52:26,2022,2,2022-02
2022-07-26 21:52:27,2022,7,2022-07
2022-08-07 21:52:28,2022,8,2022-08
2022-08-19 21:52:29,2022,8,2022-08
2022-08-31 21:52:29,2022,8,2022-08
2022-09-12 21:52:30,2022,9,2022-09
2022-09-24 21:52:29,2022,9,2022-09
2022-10-06 21:52:30,2022,10,2022-10
2022-10-18 21:52:30,2022,10,2022-10
2022-10-30 21:52:30,2022,10,2022-10
2022-11-11 21:52:30,2022,11,2022-11
2022-11-23 21:52:30,2022,11,2022-11
2022-12-05 21:52:29,2022,12,2022-12
2022-12-17 21:52:28,2022,12,2022-12
2022-12-29 21:52:28,2022,12,2022-12
2023-01-10 21:52:27,2023,1,2023-01
2023-01-22 21:52:27,2023,1,2023-01
2023-02-03 21:52:26,2023,2,2023-02
2023-02-15 21:52:26,2023,2,2023-02
2023-02-27 21:52:26,2023,2,2023-02
2023-03-11 21:52:26,2023,3,2023-03
2023-03-23 21:52:26,2023,3,2023-03
2023-04-04 21:52:26,2023,4,2023-04
2023-04-16 21:52:27,2023,4,2023-04
2023-04-28 21:52:27,2023,4,2023-04
2023-05-10 21:52:28,2023,5,2023-05
2023-05-22 21:52:28,2023,5,2023-05
2023-06-03 21:52:29,2023,6,2023-06
2023-06-15 21:52:30,2023,6,2023-06
2023-06-27 21:52:30,2023,6,2023-06
2023-07-09 21:52:31,2023,7,2023-07
2023-07-21 21:52:32,2023,7,2023-07
2023-08-02 21:52:32,2023,8,2023-08
2023-08-14 21:52:33,2023,8,2023-08
2023-08-26 21:52:34,2023,8,2023-08
2023-09-07 21:52:34,2023,9,2023-09
2023-09-19 21:52:35,2023,9,2023-09
2023-10-01 21:52:35,2023,10,2023-10
2023-10-13 21:52:35,2023,10,2023-10
2023-10-25 21:52:35,2023,10,2023-10
2023-11-06 21:52:35,2023,11,2023-11
2023-11-18 21:52:35,2023,11,2023-11
2023-11-30 21:52:34,2023,11,2023-11
2023-12-12 21:52:34,2023,12,2023-12
2023-12-24 21:52:33,2023,12,2023-12
2024-01-05 21:52:32,2024,1,2024-01
2024-01-17 21:52:31,2024,1,2024-01
2024-01-29 21:52:31,2024,1,2024-01
2024-02-10 21:52:31,2024,2,2024-02
2024-02-22 21:52:31,2024,2,2024-02
2024-03-05 21:52:31,2024,3,2024-03
2024-03-17 21:52:31,2024,3,2024-03
2024-03-29 21:52:32,2024,3,2024-03
2024-04-10 21:52:31,2024,4,2024-04
2024-04-22 21:52:32,2024,4,2024-04
2024-05-04 21:52:32,2024,5,2024-05
2024-05-16 21:52:32,2024,5,2024-05
2024-05-28 21:52:32,2024,5,2024-05
2024-06-09 21:52:32,2024,6,2024-06
2024-06-21 21:52:31,2024,6,2024-06
2024-07-03 21:52:30,2024,7,2024-07
2024-07-15 21:52:30,2024,7,2024-07
2024-07-27 21:52:29,2024,7,2024-07
2024-08-08 21:52:30,2024,8,2024-08
2024-08-20 21:52:30,2024,8,2024-08
2024-09-01 21:52:30,2024,9,2024-09
2024-09-13 21:52:31,2024,9,2024-09
2024-09-25 21:52:31,2024,9,2024-09
2024-10-07 21:52:32,2024,10,2024-10
2024-10-19 21:52:31,2024,10,2024-10
2024-10-19 21:52:31,2024,10,2024-10
2024-10-31 21:52:47,2024,10,2024-10
2024-11-12 21:52:31,2024,11,2024-11
2024-11-24 21:52:30,2024,11,2024-11
2024-12-06 21:52:29,2024,12,2024-12
2024-12-18 21:52:28,2024,12,2024-12
2024-12-30 21:52:27,2024,12,2024-12
2025-01-11 21:52:26,2025,1,2025-01
2025-01-23 21:52:25,2025,1,2025-01
2025-02-04 21:52:25,2025,2,2025-02
2025-02-16 21:52:24,2025,2,2025-02
2025-02-28 21:52:24,2025,2,2025-02
