year,image_count,mean_NDVI,min_NDVI,max_NDVI
2000,31,0.5249785220063659,-0.28979721665382385,1.0
2001,33,0.5189612986353612,-0.33260032534599304,0.9133691191673279
2002,31,0.5135209718815448,-0.25592437386512756,1.0
2003,28,0.5193728347759972,-0.31230971217155457,0.9062632918357849
2004,34,0.517646473672462,-0.30748680233955383,0.9664536714553833
2005,27,0.4948003921414364,-0.3348335027694702,0.998154878616333
2006,30,0.501699261336849,-0.35883182287216187,1.0
2007,22,0.494150155035709,-0.19444575905799866,0.9444334506988525
2008,37,0.5027723059911208,-0.24006256461143494,0.9403344392776489
2009,36,0.5141349335292755,-0.2545551359653473,0.912189245223999
2010,25,0.5123699866723836,-0.4102744460105896,1.0
2011,17,0.5215836315798158,-0.43458184599876404,1.0
2012,14,0.5048322081032113,-1.0,1.0
2013,26,0.5453051501306092,-0.3474678695201874,0.9827250242233276
2014,34,0.5388826903163653,-0.5289838314056396,1.0
2015,38,0.5395775723132594,-0.47375258803367615,1.0
2016,33,0.5498529395618693,-0.4939078390598297,0.9695720672607422
2017,33,0.5415772154552955,-0.31984689831733704,0.9492091536521912
2018,37,0.5506363032762339,-0.698819637298584,1.0
2019,35,0.5550728791258974,-0.4385901689529419,1.0
2020,39,0.5704980621394512,-0.3613196611404419,1.0
2021,43,0.5611395112324465,-0.4362582266330719,1.0
2022,54,0.589788882431559,-1.0,1.0
2023,59,0.5675358406727977,-0.5852968692779541,1.0
2024,38,0.5603166061225576,-1.0,1.0
2025,33,0.5418687448557074,-1.0,1.0
2026,12,0.5815912974536571,-1.0,1.0
