序號,TOWNNAME,縣市及鄉鎮市區,村里,避難收容處所地址,經度,緯度,避難收容處所名稱,預計收容村里,預計收容人數,適用災害類別,管理人姓名,管理人電話,室內,室外,適合避難弱者安置,TWD97_lon,TWD97_lat,is_indoor,geometry,mean_elevation,max_slope,std_elevation,river_distance_m,river_distance_category,risk_level,terrain_risk
46,花蓮縣,花蓮縣秀林鄉,和平村,和平112號,121.748879,24.308073,和平國小,和中部落,250,"水災,土石流",蔡金郎,03-868113,是,否,否,326011.1107,2689346.508,TRUE,POINT (326011.1106517919 2689346.507640283),27.50235114,45.47325134,17.9942405,865.6731621,500-1000公尺之間,高風險,High
1306,花蓮縣,花蓮縣富里鄉,豐南村,豐南7鄰12-3號,121.2686,23.143,豐南社區活動中心,豐南村,50,"水災,震災,土石流,海嘯",黃瓊瑤,03-8831820,是,否,是,277505.7789,2560143.417,TRUE,POINT (277505.77888307045 2560143.4173066015),299.4591485,41.04636765,13.26063338,53.52427211,小於500公尺,極高風險,Very High
1332,花蓮縣,花蓮縣富里鄉,富南村,富南村4鄰42-1號,121.2399,23.1612,玉寶宮,富南村,20,"水災,土石流",鄧仲量,03-8831822,是,否,是,274563.4467,2562153.682,TRUE,POINT (274563.44670147065 2562153.6819431),240.6309077,29.89189148,7.838210315,277.175989,小於500公尺,高風險,High
1342,花蓮縣,花蓮縣富里鄉,永豐村,永豐10鄰20-1號,121.2565,23.1714,永豐社區活動中心,永豐村,50,"水災,土石流",黃瓊瑤,03-8831821,是,否,是,276261.145,2563286.086,TRUE,POINT (276261.14500782464 2563286.085502477),257.4568152,32.28624725,22.75303856,342.7859164,小於500公尺,極高風險,Very High
1350,花蓮縣,花蓮縣富里鄉,富里村,中山路205號,121.247624,23.174527,富里老人文康中心,富里村,100,"水災,土石流",古智雄,03-8831048,是,否,是,275351.8039,2563630.784,TRUE,POINT (275351.8038632076 2563630.7841072325),238.3243466,30.52633286,18.28400531,294.440576,小於500公尺,極高風險,Very High
1353,花蓮縣,花蓮縣卓溪鄉,古風村,23鄰16-1號,121.2359,23.1784,石平社區活動中心,古風村石平社區,50,"水災,土石流",林章成,03-8881852,是,否,是,274150.7982,2564057.672,TRUE,POINT (274150.7981701222 2564057.671704444),265.3581086,49.29889297,54.84778679,201.0794788,小於500公尺,極高風險,Very High
1355,花蓮縣,花蓮縣富里鄉,富里村,中山路376號,121.2503,23.1795,富里鄉公所2樓,富里村,100,"水災,土石流",陳伯昇,03-8831111,是,否,是,275624.8277,2564181.943,TRUE,POINT (275624.82774788066 2564181.9434700813),246.1789144,32.61647797,28.57325931,724.8704943,500-1000公尺之間,高風險,High
1379,花蓮縣,花蓮縣富里鄉,石牌村,8鄰富北34-2號,121.2643,23.1928,石牌社區活動中心,石牌村,30,"水災,土石流",王貞予,03-8831323,是,否,是,277055.4302,2565657.271,TRUE,POINT (277055.4301602519 2565657.270588333),217.7405811,27.66690826,12.67441345,157.9908454,小於500公尺,高風險,High
1386,花蓮縣,花蓮縣富里鄉,明里村,3鄰明里37號,121.2522,23.1998,明里社區活動中心,明里村,50,"水災,土石流",徐祥寶,03-8846057,是,否,是,275815.4475,2566430.227,TRUE,POINT (275815.44751660543 2566430.2268911717),222.7622848,45.12797546,21.37659687,823.2025351,500-1000公尺之間,高風險,High
1389,花蓮縣,花蓮縣富里鄉,羅山村,9鄰東湖39號,121.2776,23.2021,羅山縱管處,羅山村,50,"水災,土石流",徐祥寶,03-8821330,是,否,是,278414.9446,2566689.657,TRUE,POINT (278414.9445840459 2566689.6566519653),222.5730428,30.42821503,11.16499423,194.400875,小於500公尺,極高風險,Very High
