StationId,StationName,CountyName,TownName,StationLatitude,StationLongitude,StationAltitude,DateTime,Past1hr,Past10Min,Past3hr,Past6hr,Past12hr,Past24hr,NOW,Past2days,Past3days
C0T9N0,富里,花蓮縣,富里鄉,23.171639,121.249378,261,2025/7/19 06:10,76,2,105,173.5,204.5,253,176.5,253,253
01T720,明里,花蓮縣,富里鄉,23.202324,121.25167,210,2025/7/19 06:10,68,0,87,163,197,234,167,234,234
C0Z020,明里,花蓮縣,富里鄉,23.208717,121.262342,211,2025/7/19 06:10,63,16,78.5,141.5,175,212,146,212,212
81T760,富南部落,花蓮縣,富里鄉,23.133056,121.246667,430,2025/7/19 06:10,49.5,12,55.5,99.5,120,147,99.5,147,147
C0Z190,富世,花蓮縣,秀林鄉,24.147433,121.629703,62,2025/7/19 06:10,37,10,46.5,87.5,132,154.5,87.5,154.5,154.5
C1TA00,太魯閣,花蓮縣,秀林鄉,24.157728,121.623597,94,2025/7/19 06:10,35,8,45.5,93,148.5,169,93,169,169
C1T830,布洛灣,花蓮縣,秀林鄉,24.171842,121.571269,675,2025/7/19 06:10,34.5,7,51,96,150,171,96.5,171,171
C1S850,豐南,花蓮縣,富里鄉,23.122139,121.262389,489,2025/7/19 06:10,33.5,2,68,115,139.5,179,117,179,179
C0TA80,立霧山,花蓮縣,秀林鄉,24.183258,121.641899,1108,2025/7/19 06:10,31.5,7.5,68,87,130,170.5,87,170.5,170.5
C0T820,天祥,花蓮縣,秀林鄉,24.179597,121.495639,550,2025/7/19 06:10,31,4,87,121,170,182.5,121.5,182.5,182.5
C0TA20,加灣,花蓮縣,秀林鄉,24.082025,121.608944,45,2025/7/19 06:10,29.5,0,59.5,82.5,106,131,82.5,131,131
C0TA40,秀林,花蓮縣,秀林鄉,24.302863,121.731144,930,2025/7/19 06:10,25,16.5,38,56,99,111.5,56,111.5,111.5
C0TA10,花蓮漁港,花蓮縣,花蓮市,23.995322,121.638331,17,2025/7/19 06:10,25,1,49.5,65.5,83,97.5,65.5,97.5,97.5
C0Z320,清水林道,花蓮縣,卓溪鄉,23.27125,121.188272,646,2025/7/19 06:10,24,6,39,81,120.5,152.5,83.5,152.5,152.5
C0T960,光復,花蓮縣,光復鄉,23.660694,121.424964,120,2025/7/19 06:10,23,0,43.5,100.5,153.5,166.5,101.5,166.5,166.5
01T500,北埔,花蓮縣,新城鄉,24.037079,121.604462,20,2025/7/19 06:10,23,0,48,75,96,110,75,110,110
C1T970,大農,花蓮縣,光復鄉,23.615233,121.413331,183,2025/7/19 06:10,22,3,51,112,155.5,170.5,113.5,170.5,170.5
C1Z110,三棧,花蓮縣,秀林鄉,24.115569,121.605006,680,2025/7/19 06:10,21.5,0.5,50,71,101,124.5,71.5,124.5,124.5
C0Z180,新城,花蓮縣,新城鄉,24.040486,121.604878,37,2025/7/19 06:10,21.5,0.5,44,69,90.5,106,69,106,106
01T9J0,六十石山,花蓮縣,富里鄉,23.217557,121.32297,730,2025/7/19 06:10,21,0,47,112,149,183,116,183,183
88T920,大興,花蓮縣,光復鄉,23.631944,121.397778,128,2025/7/19 06:10,20.5,5.5,38,107,150.5,164.5,108.5,164.5,164.5
C0T9G0,鳳林山,花蓮縣,鳳林鎮,23.735269,121.420131,605,2025/7/19 06:10,20,2,46.5,73.5,125.5,140,74.5,140,140
C1T810,慈恩,花蓮縣,秀林鄉,24.192044,121.388386,2049,2025/7/19 06:10,19,2.5,44.5,73.5,123,143.5,76.5,143.5,144
01T9L0,東富,花蓮縣,光復鄉,23.684836,121.482088,110,2025/7/19 06:10,19,0,38,76,112,129,77,129,129
C0Z200,萬榮,花蓮縣,鳳林鎮,23.709219,121.420106,153,2025/7/19 06:10,19,0.5,36.5,72.5,111.5,123.5,73,123.5,123.5
C1T940,大觀,花蓮縣,萬榮鄉,23.714206,121.373133,539,2025/7/19 06:10,18.5,3.5,40,85,137.5,159,86.5,159,165
C0T9D0,和中,花蓮縣,秀林鄉,24.266761,121.741031,7,2025/7/19 06:10,18.5,14.5,30,46.5,82.5,94,46.5,94,94
C0T9I0,豐濱,花蓮縣,豐濱鄉,23.583897,121.514806,152,2025/7/19 06:10,18,2.5,48,110,145,177,112.5,177,177
81T770,大豐,花蓮縣,光復鄉,23.607222,121.376111,230,2025/7/19 06:10,17.5,8,46,94,140,158,94,158,158
C1T950,太安,花蓮縣,萬榮鄉,23.666719,121.370128,1050,2025/7/19 06:10,17,1,50,139,222,250,141,250,250
C0T9B0,水源,花蓮縣,秀林鄉,23.991861,121.537169,558,2025/7/19 06:10,17,1,50.5,88,130.5,147.5,88.5,147.5,147.5
81T9J0,鳳義坑,花蓮縣,鳳林鎮,23.740881,121.42608,304,2025/7/19 06:10,16.5,0,43,67,123.5,140,67,140,140
72T250,花蓮農改,花蓮縣,吉安鄉,23.975222,121.563889,36,2025/7/19 06:10,16.5,0.5,55,92,124.5,132.5,92,132.5,135
81T1A0,崇德國小,花蓮縣,秀林鄉,24.161555,121.653037,20,2025/7/19 06:10,16.5,11.5,23.5,60,103,117.5,60,117.5,117.5
01T730,豐濱,花蓮縣,豐濱鄉,23.602442,121.520492,30,2025/7/19 06:10,15,0,32,75,107,125,75,125,125
81T1B0,和仁車站,花蓮縣,秀林鄉,24.236166,121.708898,40,2025/7/19 06:10,15,8.5,35.5,68,108,119,68,119,119
O1T840,花蓮,花蓮縣,花蓮市,23.972934,121.605986,18,2025/7/19 06:10,14,0,56,92,115,124,92,124,124
81T910,東里國中,花蓮縣,富里鄉,23.263333,121.303056,173,2025/7/19 06:10,14,0,29,66,102,129,66,129,129
466990,花蓮,花蓮縣,花蓮市,23.975128,121.613275,16.1,2025/7/19 06:10,13.5,1,54.5,82.5,102,112.5,82.5,112.5,112.5
C0Z220,和平林道,花蓮縣,秀林鄉,24.343922,121.656317,589,2025/7/19 06:10,13.5,7,30.5,53,99,108,53,108,108
C0Z290,赤柯山,花蓮縣,玉里鎮,23.368928,121.382931,946,2025/7/19 06:10,13.5,4,66,118,167,209,119,209,217.5
O1T810,卓清國小,花蓮縣,卓溪鄉,23.278428,121.271983,203,2025/7/19 06:10,13,0,22,57,97,132,57,132,132
C0Z300,東里,花蓮縣,富里鄉,23.268528,121.305469,182,2025/7/19 06:10,13,2,21,58,104.5,136.5,64.5,136.5,136.5
C0TA50,和仁,花蓮縣,秀林鄉,24.241394,121.712472,3,2025/7/19 06:10,12,5.5,28.5,40,78.5,89,40,89,89
C0Z061,玉里,花蓮縣,玉里鎮,23.3215,121.339656,174,2025/7/19 06:10,11.5,0.5,28,55.5,105.5,149.5,57,149.5,149.5
C0T790,大禹嶺,花蓮縣,秀林鄉,24.186117,121.316086,2830,2025/7/19 06:10,11.5,1.5,26.5,39,55.5,62.5,40,62.5,66
C0T9H0,加路蘭山,花蓮縣,豐濱鄉,23.682947,121.5274,725,2025/7/19 06:10,11,0,31.5,52,81,99,54,99,99
C0Z080,富源,花蓮縣,光復鄉,23.587642,121.378225,298,2025/7/19 06:10,11,1.5,33,76.5,115.5,133.5,77.5,133.5,133.5
C0T870,鯉魚潭,花蓮縣,壽豐鄉,23.935639,121.508944,135,2025/7/19 06:10,10.5,1,38,102.5,133,157,103.5,157,159.5
81T850,溪口國小,花蓮縣,壽豐鄉,23.819722,121.473333,116,2025/7/19 06:10,10.5,0,27.5,62.5,112,125.5,63.5,125.5,125.5
81T870,東興部落,花蓮縣,豐濱鄉,23.635204,121.530893,26,2025/7/19 06:10,9.5,7.5,33,78,105,116,78,116,116
81T900,卓溪國小,花蓮縣,卓溪鄉,23.345833,121.303333,179,2025/7/19 06:10,9.5,0,60,90,140.5,163.5,90,163.5,163.5
C0Z170,卓溪,花蓮縣,卓溪鄉,23.344331,121.302853,216,2025/7/19 06:10,9,0.5,25,45.5,98.5,121.5,47,121.5,121.5
C0Z330,安通山,花蓮縣,玉里鎮,23.290728,121.348528,488,2025/7/19 06:10,9,3.5,21,51,93,131.5,53,131.5,134.5
C0Z050,佳心,花蓮縣,卓溪鄉,23.345667,121.213164,830,2025/7/19 06:10,8.5,5,20.5,45,100,129,47,129,130
C1Z130,銅門,花蓮縣,秀林鄉,23.965694,121.492842,187,2025/7/19 06:10,8.5,1,33.5,109,135,152.5,110,152.5,177.5
C1T980,龍澗,花蓮縣,秀林鄉,24.023289,121.411328,1306,2025/7/19 06:10,8,2,21,97.5,147,188,100,188,191.5
C0T9F0,水璉,花蓮縣,壽豐鄉,23.797131,121.542514,251,2025/7/19 06:10,8,0,25.5,52,97,116,53,116,116
81T860,山興分校,花蓮縣,鳳林鎮,23.727778,121.4975,98,2025/7/19 06:10,8,0,18,44.5,84.5,91,46,91,91
C1Z120,壽豐,花蓮縣,壽豐鄉,23.870853,121.508081,62,2025/7/19 06:10,8,4.5,43,98.5,125,137.5,99,137.5,137.5
C0Z160,鳳林,花蓮縣,鳳林鎮,23.746114,121.453411,124,2025/7/19 06:10,7,0,34,59,105.5,117,60,117,117
C1T990,高寮,花蓮縣,玉里鎮,23.394239,121.356808,128,2025/7/19 06:10,6.5,4,74,132.5,180.5,203.5,133,203.5,203.5
C0T9A0,月眉山,花蓮縣,壽豐鄉,23.809928,121.539828,498,2025/7/19 06:10,6.5,0,23,50.5,87.5,108.5,51,108.5,108.5
C0Z100,東華,花蓮縣,壽豐鄉,23.89525,121.549833,36,2025/7/19 06:10,6.5,1,37,108.5,127.5,150.5,109.5,150.5,151
C1Z140,荖溪,花蓮縣,秀林鄉,23.890575,121.459639,950,2025/7/19 06:10,6.5,1.5,42,106,146.5,173.5,107,173.5,173.5
C1T920,中興,花蓮縣,壽豐鄉,23.769503,121.498653,68,2025/7/19 06:10,6,0,15,42.5,81.5,94,44.5,94,94
