asset,type,location,W4_terrain_risk,W7_centrality_rank,Barrier Lake Hit,Landslide Hit,Debris Flow Hit,notes
shelter_54,W3 Shelter,,low,,N,Y,N,within 200 m of landslide source
shelter_55,W3 Shelter,,high,,N,Y,N,within 200 m of landslide source
shelter_56,W3 Shelter,,high,,N,Y,N,within 200 m of landslide source
shelter_60,W3 Shelter,,high,,N,Y,N,within 200 m of landslide source
shelter_63,W3 Shelter,,low,,N,Y,N,within 200 m of landslide source
shelter_64,W3 Shelter,,high,,N,Y,N,within 200 m of landslide source
shelter_65,W3 Shelter,,high,,N,Y,N,within 200 m of landslide source
shelter_67,W3 Shelter,,low,,N,Y,N,within 200 m of landslide source
shelter_68,W3 Shelter,,high,,N,Y,N,within 200 m of landslide source
shelter_70,W3 Shelter,,high,,N,Y,N,within 200 m of landslide source
shelter_71,W3 Shelter,,high,,N,Y,N,within 200 m of landslide source
shelter_72,W3 Shelter,,high,,N,Y,N,within 200 m of landslide source
shelter_73,W3 Shelter,,high,,N,Y,N,within 200 m of landslide source
shelter_74,W3 Shelter,,high,,N,Y,N,within 200 m of landslide source
shelter_75,W3 Shelter,,high,,N,Y,N,within 200 m of landslide source
shelter_76,W3 Shelter,,high,,N,Y,N,within 200 m of landslide source
shelter_77,W3 Shelter,,high,,N,Y,N,within 200 m of landslide source
shelter_78,W3 Shelter,,high,,N,Y,N,within 200 m of landslide source
shelter_80,W3 Shelter,,low,,N,Y,N,within 200 m of landslide source
shelter_81,W3 Shelter,,high,,N,Y,N,within 200 m of landslide source
shelter_82,W3 Shelter,,high,,N,Y,N,within 200 m of landslide source
shelter_84,W3 Shelter,,low,,N,Y,N,within 200 m of landslide source
shelter_85,W3 Shelter,,low,,N,Y,N,within 200 m of landslide source
shelter_88,W3 Shelter,,low,,N,Y,N,within 200 m of landslide source
shelter_90,W3 Shelter,,high,,N,Y,N,within 200 m of landslide source
shelter_92,W3 Shelter,,low,,N,Y,N,within 200 m of landslide source
shelter_93,W3 Shelter,,low,,N,Y,N,within 200 m of landslide source
shelter_94,W3 Shelter,,low,,N,Y,N,within 200 m of landslide source
Guangfu_Station,W8 Guangfu (critical_infra),光復火車站,,,N,Y,N,within 200 m of landslide source; priority=2
Guangfu_Elementary,W8 Guangfu (shelter),光復國小,,,N,Y,N,within 200 m of landslide source; priority=1
Guangfu_Township_Office,W8 Guangfu (shelter),光復鄉公所,,,N,Y,N,within 200 m of landslide source; priority=1
Foxu_Debris_Zone,W8 Guangfu (critical_infra),佛祖街沉積區中心,,,N,Y,N,within 200 m of landslide source; priority=3
shelter_0,W3 Shelter,,high,,N,N,N,outside event area
shelter_1,W3 Shelter,,high,,N,N,N,outside event area
shelter_2,W3 Shelter,,high,,N,N,N,outside event area
shelter_3,W3 Shelter,,high,,N,N,N,outside event area
shelter_4,W3 Shelter,,high,,N,N,N,outside event area
shelter_5,W3 Shelter,,high,,N,N,N,outside event area
shelter_6,W3 Shelter,,high,,N,N,N,outside event area
shelter_7,W3 Shelter,,high,,N,N,N,outside event area
shelter_8,W3 Shelter,,high,,N,N,N,outside event area
shelter_9,W3 Shelter,,high,,N,N,N,outside event area
shelter_10,W3 Shelter,,high,,N,N,N,outside event area
shelter_11,W3 Shelter,,high,,N,N,N,outside event area
shelter_12,W3 Shelter,,low,,N,N,N,outside event area
shelter_13,W3 Shelter,,low,,N,N,N,outside event area
shelter_14,W3 Shelter,,low,,N,N,N,outside event area
shelter_15,W3 Shelter,,high,,N,N,N,outside event area
shelter_16,W3 Shelter,,high,,N,N,N,outside event area
shelter_17,W3 Shelter,,high,,N,N,N,outside event area
shelter_18,W3 Shelter,,high,,N,N,N,outside event area
shelter_19,W3 Shelter,,high,,N,N,N,outside event area
shelter_20,W3 Shelter,,high,,N,N,N,outside event area
shelter_21,W3 Shelter,,low,,N,N,N,outside event area
shelter_22,W3 Shelter,,low,,N,N,N,outside event area
shelter_23,W3 Shelter,,high,,N,N,N,outside event area
shelter_24,W3 Shelter,,high,,N,N,N,outside event area
shelter_25,W3 Shelter,,high,,N,N,N,outside event area
shelter_26,W3 Shelter,,high,,N,N,N,outside event area
shelter_27,W3 Shelter,,high,,N,N,N,outside event area
shelter_28,W3 Shelter,,high,,N,N,N,outside event area
shelter_29,W3 Shelter,,high,,N,N,N,outside event area
shelter_30,W3 Shelter,,high,,N,N,N,outside event area
shelter_31,W3 Shelter,,high,,N,N,N,outside event area
shelter_32,W3 Shelter,,high,,N,N,N,outside event area
shelter_33,W3 Shelter,,high,,N,N,N,outside event area
shelter_34,W3 Shelter,,high,,N,N,N,outside event area
shelter_35,W3 Shelter,,high,,N,N,N,outside event area
shelter_36,W3 Shelter,,high,,N,N,N,outside event area
shelter_37,W3 Shelter,,high,,N,N,N,outside event area
shelter_38,W3 Shelter,,high,,N,N,N,outside event area
shelter_39,W3 Shelter,,high,,N,N,N,outside event area
shelter_40,W3 Shelter,,high,,N,N,N,outside event area
shelter_41,W3 Shelter,,high,,N,N,N,outside event area
shelter_42,W3 Shelter,,high,,N,N,N,outside event area
shelter_43,W3 Shelter,,high,,N,N,N,outside event area
shelter_44,W3 Shelter,,high,,N,N,N,outside event area
shelter_45,W3 Shelter,,high,,N,N,N,outside event area
shelter_46,W3 Shelter,,high,,N,N,N,outside event area
shelter_47,W3 Shelter,,low,,N,N,N,outside event area
shelter_48,W3 Shelter,,high,,N,N,N,outside event area
shelter_49,W3 Shelter,,low,,N,N,N,outside event area
shelter_50,W3 Shelter,,high,,N,N,N,outside event area
shelter_51,W3 Shelter,,high,,N,N,N,outside event area
shelter_52,W3 Shelter,,high,,N,N,N,outside event area
shelter_53,W3 Shelter,,high,,N,N,N,outside event area
shelter_57,W3 Shelter,,low,,N,N,N,outside event area
shelter_58,W3 Shelter,,low,,N,N,N,outside event area
shelter_59,W3 Shelter,,low,,N,N,N,outside event area
shelter_61,W3 Shelter,,high,,N,N,N,outside event area
shelter_62,W3 Shelter,,high,,N,N,N,outside event area
shelter_66,W3 Shelter,,high,,N,N,N,outside event area
shelter_69,W3 Shelter,,high,,N,N,N,outside event area
shelter_79,W3 Shelter,,high,,N,N,N,outside event area
