asset,type,location,W4_terrain_risk,W7_centrality_rank,Barrier Lake Hit,Landslide Hit,Debris Flow Hit,notes,Barrier_Lake_Hit_norm,Landslide_Hit_norm,Debris_Flow_Hit_norm
shelter_54,W3 Shelter,,low,,N,Y,N,within 200 m of landslide source,N,Y,N
shelter_55,W3 Shelter,,high,,N,Y,N,within 200 m of landslide source,N,Y,N
shelter_56,W3 Shelter,,high,,N,Y,N,within 200 m of landslide source,N,Y,N
shelter_60,W3 Shelter,,high,,N,Y,N,within 200 m of landslide source,N,Y,N
shelter_63,W3 Shelter,,low,,N,Y,N,within 200 m of landslide source,N,Y,N
shelter_64,W3 Shelter,,high,,N,Y,N,within 200 m of landslide source,N,Y,N
shelter_65,W3 Shelter,,high,,N,Y,N,within 200 m of landslide source,N,Y,N
shelter_67,W3 Shelter,,low,,N,Y,N,within 200 m of landslide source,N,Y,N
shelter_68,W3 Shelter,,high,,N,Y,N,within 200 m of landslide source,N,Y,N
shelter_70,W3 Shelter,,high,,N,Y,N,within 200 m of landslide source,N,Y,N
shelter_71,W3 Shelter,,high,,N,Y,N,within 200 m of landslide source,N,Y,N
shelter_72,W3 Shelter,,high,,N,Y,N,within 200 m of landslide source,N,Y,N
shelter_73,W3 Shelter,,high,,N,Y,N,within 200 m of landslide source,N,Y,N
shelter_74,W3 Shelter,,high,,N,Y,N,within 200 m of landslide source,N,Y,N
shelter_75,W3 Shelter,,high,,N,Y,N,within 200 m of landslide source,N,Y,N
shelter_76,W3 Shelter,,high,,N,Y,N,within 200 m of landslide source,N,Y,N
shelter_77,W3 Shelter,,high,,N,Y,N,within 200 m of landslide source,N,Y,N
shelter_78,W3 Shelter,,high,,N,Y,N,within 200 m of landslide source,N,Y,N
shelter_80,W3 Shelter,,low,,N,Y,N,within 200 m of landslide source,N,Y,N
shelter_81,W3 Shelter,,high,,N,Y,N,within 200 m of landslide source,N,Y,N
shelter_82,W3 Shelter,,high,,N,Y,N,within 200 m of landslide source,N,Y,N
shelter_84,W3 Shelter,,low,,N,Y,N,within 200 m of landslide source,N,Y,N
shelter_85,W3 Shelter,,low,,N,Y,N,within 200 m of landslide source,N,Y,N
shelter_88,W3 Shelter,,low,,N,Y,N,within 200 m of landslide source,N,Y,N
shelter_90,W3 Shelter,,high,,N,Y,N,within 200 m of landslide source,N,Y,N
shelter_92,W3 Shelter,,low,,N,Y,N,within 200 m of landslide source,N,Y,N
shelter_93,W3 Shelter,,low,,N,Y,N,within 200 m of landslide source,N,Y,N
shelter_94,W3 Shelter,,low,,N,Y,N,within 200 m of landslide source,N,Y,N
Guangfu_Station,W8 Guangfu (critical_infra),光復火車站,,,N,Y,N,within 200 m of landslide source; priority=2,N,Y,N
Guangfu_Elementary,W8 Guangfu (shelter),光復國小,,,N,Y,N,within 200 m of landslide source; priority=1,N,Y,N
Guangfu_Township_Office,W8 Guangfu (shelter),光復鄉公所,,,N,Y,N,within 200 m of landslide source; priority=1,N,Y,N
Foxu_Debris_Zone,W8 Guangfu (critical_infra),佛祖街沉積區中心,,,N,Y,N,within 200 m of landslide source; priority=3,N,Y,N
shelter_0,W3 Shelter,,high,,N,N,N,outside event area,N,N,N
shelter_1,W3 Shelter,,high,,N,N,N,outside event area,N,N,N
shelter_2,W3 Shelter,,high,,N,N,N,outside event area,N,N,N
shelter_3,W3 Shelter,,high,,N,N,N,outside event area,N,N,N
shelter_4,W3 Shelter,,high,,N,N,N,outside event area,N,N,N
shelter_5,W3 Shelter,,high,,N,N,N,outside event area,N,N,N
shelter_6,W3 Shelter,,high,,N,N,N,outside event area,N,N,N
shelter_7,W3 Shelter,,high,,N,N,N,outside event area,N,N,N
shelter_8,W3 Shelter,,high,,N,N,N,outside event area,N,N,N
shelter_9,W3 Shelter,,high,,N,N,N,outside event area,N,N,N
shelter_10,W3 Shelter,,high,,N,N,N,outside event area,N,N,N
shelter_11,W3 Shelter,,high,,N,N,N,outside event area,N,N,N
shelter_12,W3 Shelter,,low,,N,N,N,outside event area,N,N,N
shelter_13,W3 Shelter,,low,,N,N,N,outside event area,N,N,N
shelter_14,W3 Shelter,,low,,N,N,N,outside event area,N,N,N
shelter_15,W3 Shelter,,high,,N,N,N,outside event area,N,N,N
shelter_16,W3 Shelter,,high,,N,N,N,outside event area,N,N,N
shelter_17,W3 Shelter,,high,,N,N,N,outside event area,N,N,N
shelter_18,W3 Shelter,,high,,N,N,N,outside event area,N,N,N
shelter_19,W3 Shelter,,high,,N,N,N,outside event area,N,N,N
shelter_20,W3 Shelter,,high,,N,N,N,outside event area,N,N,N
shelter_21,W3 Shelter,,low,,N,N,N,outside event area,N,N,N
shelter_22,W3 Shelter,,low,,N,N,N,outside event area,N,N,N
shelter_23,W3 Shelter,,high,,N,N,N,outside event area,N,N,N
shelter_24,W3 Shelter,,high,,N,N,N,outside event area,N,N,N
shelter_25,W3 Shelter,,high,,N,N,N,outside event area,N,N,N
shelter_26,W3 Shelter,,high,,N,N,N,outside event area,N,N,N
shelter_27,W3 Shelter,,high,,N,N,N,outside event area,N,N,N
shelter_28,W3 Shelter,,high,,N,N,N,outside event area,N,N,N
shelter_29,W3 Shelter,,high,,N,N,N,outside event area,N,N,N
shelter_30,W3 Shelter,,high,,N,N,N,outside event area,N,N,N
shelter_31,W3 Shelter,,high,,N,N,N,outside event area,N,N,N
shelter_32,W3 Shelter,,high,,N,N,N,outside event area,N,N,N
shelter_33,W3 Shelter,,high,,N,N,N,outside event area,N,N,N
shelter_34,W3 Shelter,,high,,N,N,N,outside event area,N,N,N
shelter_35,W3 Shelter,,high,,N,N,N,outside event area,N,N,N
shelter_36,W3 Shelter,,high,,N,N,N,outside event area,N,N,N
shelter_37,W3 Shelter,,high,,N,N,N,outside event area,N,N,N
shelter_38,W3 Shelter,,high,,N,N,N,outside event area,N,N,N
shelter_39,W3 Shelter,,high,,N,N,N,outside event area,N,N,N
shelter_40,W3 Shelter,,high,,N,N,N,outside event area,N,N,N
shelter_41,W3 Shelter,,high,,N,N,N,outside event area,N,N,N
shelter_42,W3 Shelter,,high,,N,N,N,outside event area,N,N,N
shelter_43,W3 Shelter,,high,,N,N,N,outside event area,N,N,N
shelter_44,W3 Shelter,,high,,N,N,N,outside event area,N,N,N
shelter_45,W3 Shelter,,high,,N,N,N,outside event area,N,N,N
shelter_46,W3 Shelter,,high,,N,N,N,outside event area,N,N,N
shelter_47,W3 Shelter,,low,,N,N,N,outside event area,N,N,N
shelter_48,W3 Shelter,,high,,N,N,N,outside event area,N,N,N
shelter_49,W3 Shelter,,low,,N,N,N,outside event area,N,N,N
shelter_50,W3 Shelter,,high,,N,N,N,outside event area,N,N,N
shelter_51,W3 Shelter,,high,,N,N,N,outside event area,N,N,N
shelter_52,W3 Shelter,,high,,N,N,N,outside event area,N,N,N
shelter_53,W3 Shelter,,high,,N,N,N,outside event area,N,N,N
shelter_57,W3 Shelter,,low,,N,N,N,outside event area,N,N,N
shelter_58,W3 Shelter,,low,,N,N,N,outside event area,N,N,N
shelter_59,W3 Shelter,,low,,N,N,N,outside event area,N,N,N
shelter_61,W3 Shelter,,high,,N,N,N,outside event area,N,N,N
shelter_62,W3 Shelter,,high,,N,N,N,outside event area,N,N,N
shelter_66,W3 Shelter,,high,,N,N,N,outside event area,N,N,N
shelter_69,W3 Shelter,,high,,N,N,N,outside event area,N,N,N
shelter_79,W3 Shelter,,high,,N,N,N,outside event area,N,N,N
shelter_83,W3 Shelter,,high,,N,N,N,outside event area,N,N,N
shelter_86,W3 Shelter,,low,,N,N,N,outside event area,N,N,N
shelter_87,W3 Shelter,,low,,N,N,N,outside event area,N,N,N
shelter_89,W3 Shelter,,low,,N,N,N,outside event area,N,N,N
shelter_91,W3 Shelter,,low,,N,N,N,outside event area,N,N,N
shelter_95,W3 Shelter,,low,,N,N,N,outside event area,N,N,N
shelter_96,W3 Shelter,,low,,N,N,N,outside event area,N,N,N
shelter_97,W3 Shelter,,high,,N,N,N,outside event area,N,N,N
shelter_98,W3 Shelter,,low,,N,N,N,outside event area,N,N,N
shelter_99,W3 Shelter,,high,,N,N,N,outside event area,N,N,N
shelter_100,W3 Shelter,,low,,N,N,N,outside event area,N,N,N
shelter_101,W3 Shelter,,high,,N,N,N,outside event area,N,N,N
shelter_102,W3 Shelter,,low,,N,N,N,outside event area,N,N,N
shelter_103,W3 Shelter,,high,,N,N,N,outside event area,N,N,N
shelter_104,W3 Shelter,,low,,N,N,N,outside event area,N,N,N
shelter_105,W3 Shelter,,low,,N,N,N,outside event area,N,N,N
shelter_106,W3 Shelter,,high,,N,N,N,outside event area,N,N,N
shelter_107,W3 Shelter,,high,,N,N,N,outside event area,N,N,N
shelter_108,W3 Shelter,,high,,N,N,N,outside event area,N,N,N
shelter_109,W3 Shelter,,high,,N,N,N,outside event area,N,N,N
shelter_110,W3 Shelter,,high,,N,N,N,outside event area,N,N,N
shelter_111,W3 Shelter,,high,,N,N,N,outside event area,N,N,N
shelter_112,W3 Shelter,,high,,N,N,N,outside event area,N,N,N
shelter_113,W3 Shelter,,high,,N,N,N,outside event area,N,N,N
shelter_114,W3 Shelter,,high,,N,N,N,outside event area,N,N,N
shelter_115,W3 Shelter,,high,,N,N,N,outside event area,N,N,N
shelter_116,W3 Shelter,,high,,N,N,N,outside event area,N,N,N
shelter_117,W3 Shelter,,medium,,N,N,N,outside event area,N,N,N
shelter_118,W3 Shelter,,medium,,N,N,N,outside event area,N,N,N
shelter_119,W3 Shelter,,high,,N,N,N,outside event area,N,N,N
shelter_120,W3 Shelter,,low,,N,N,N,outside event area,N,N,N
shelter_121,W3 Shelter,,low,,N,N,N,outside event area,N,N,N
shelter_122,W3 Shelter,,high,,N,N,N,outside event area,N,N,N
shelter_123,W3 Shelter,,low,,N,N,N,outside event area,N,N,N
shelter_124,W3 Shelter,,low,,N,N,N,outside event area,N,N,N
shelter_125,W3 Shelter,,low,,N,N,N,outside event area,N,N,N
shelter_126,W3 Shelter,,low,,N,N,N,outside event area,N,N,N
shelter_127,W3 Shelter,,low,,N,N,N,outside event area,N,N,N
shelter_128,W3 Shelter,,high,,N,N,N,outside event area,N,N,N
shelter_129,W3 Shelter,,high,,N,N,N,outside event area,N,N,N
shelter_130,W3 Shelter,,high,,N,N,N,outside event area,N,N,N
shelter_131,W3 Shelter,,high,,N,N,N,outside event area,N,N,N
shelter_132,W3 Shelter,,low,,N,N,N,outside event area,N,N,N
shelter_133,W3 Shelter,,medium,,N,N,N,outside event area,N,N,N
shelter_134,W3 Shelter,,medium,,N,N,N,outside event area,N,N,N
shelter_135,W3 Shelter,,high,,N,N,N,outside event area,N,N,N
shelter_136,W3 Shelter,,low,,N,N,N,outside event area,N,N,N
shelter_137,W3 Shelter,,medium,,N,N,N,outside event area,N,N,N
shelter_138,W3 Shelter,,low,,N,N,N,outside event area,N,N,N
shelter_139,W3 Shelter,,medium,,N,N,N,outside event area,N,N,N
shelter_140,W3 Shelter,,high,,N,N,N,outside event area,N,N,N
shelter_141,W3 Shelter,,high,,N,N,N,outside event area,N,N,N
shelter_142,W3 Shelter,,medium,,N,N,N,outside event area,N,N,N
shelter_143,W3 Shelter,,medium,,N,N,N,outside event area,N,N,N
shelter_144,W3 Shelter,,high,,N,N,N,outside event area,N,N,N
shelter_145,W3 Shelter,,high,,N,N,N,outside event area,N,N,N
shelter_146,W3 Shelter,,high,,N,N,N,outside event area,N,N,N
shelter_147,W3 Shelter,,medium,,N,N,N,outside event area,N,N,N
shelter_148,W3 Shelter,,high,,N,N,N,outside event area,N,N,N
shelter_149,W3 Shelter,,high,,N,N,N,outside event area,N,N,N
shelter_150,W3 Shelter,,high,,N,N,N,outside event area,N,N,N
shelter_151,W3 Shelter,,medium,,N,N,N,outside event area,N,N,N
shelter_152,W3 Shelter,,medium,,N,N,N,outside event area,N,N,N
shelter_153,W3 Shelter,,low,,N,N,N,outside event area,N,N,N
shelter_154,W3 Shelter,,high,,N,N,N,outside event area,N,N,N
shelter_155,W3 Shelter,,medium,,N,N,N,outside event area,N,N,N
shelter_156,W3 Shelter,,high,,N,N,N,outside event area,N,N,N
shelter_157,W3 Shelter,,medium,,N,N,N,outside event area,N,N,N
shelter_158,W3 Shelter,,low,,N,N,N,outside event area,N,N,N
shelter_159,W3 Shelter,,low,,N,N,N,outside event area,N,N,N
shelter_160,W3 Shelter,,medium,,N,N,N,outside event area,N,N,N
shelter_161,W3 Shelter,,medium,,N,N,N,outside event area,N,N,N
shelter_162,W3 Shelter,,low,,N,N,N,outside event area,N,N,N
